URL,Form Grouping-ID,# of Times On Page
https://globalbusiness.tufts.edu/academics/international-security/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/kedar-kurpad/,tuf-bus-83,1
https://globalbusiness.tufts.edu/admissions/tuition-financial-aid/,tuf-bus-83,3
https://globalbusiness.tufts.edu/academics/beyond-balance-sheets/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/asheesh-advani/,tuf-bus-83,1
https://globalbusiness.tufts.edu/admissions/tuition-financial-aid/faq/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/sushma-raman/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/kenneth-pucker/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/global-marketing-management/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/melissa-palmer/,tuf-bus-83,1
https://globalbusiness.tufts.edu/sr-gba-admissions-deadline-form/,tuf-bus-83,3
https://globalbusiness.tufts.edu/experience/student-spotlights/jd-kristenson/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/international-strategy-innovation/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/rachel-kyte/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/daniel-robb/,tuf-bus-83,1
https://globalbusiness.tufts.edu/careers/consulting-careers/,tuf-bus-83,3
https://globalbusiness.tufts.edu/experience/leadership-faculty/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/international-business-law/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/tiara-durham/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/starting-new-ventures/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/class-profile/,tuf-bus-83,2
https://globalbusiness.tufts.edu/experience/leadership-faculty/chris-miller/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/john-allen-burgess/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/capstone-lab/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/laurent-jacque/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/carolyn-gideon/,tuf-bus-83,1
https://globalbusiness.tufts.edu/admissions/events/application-workshop-webinar/,tuf-bus-1715,1
https://globalbusiness.tufts.edu/careers/,tuf-bus-83,3
https://globalbusiness.tufts.edu/academics/international-immersion/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/bernard-l-simonin/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/ann-cullen/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/negotiating-leadership/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/joshua-hurwitz/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/sinead-gangler/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/melanie-reed/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/course-sequences/,tuf-bus-83,2
https://globalbusiness.tufts.edu/experience/leadership-faculty/daniel-drezner/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/joel-p-trachtman/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/international-macroeconomics/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/jeswald-salacuse/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/ravi-shankar-chaturvedi/,tuf-bus-83,1
https://globalbusiness.tufts.edu/careers/international-relations-careers/,tuf-bus-83,4
https://globalbusiness.tufts.edu/legal/terms-of-use/,tuf-bus-83,1
https://globalbusiness.tufts.edu/admissions/events/rsvp-021621-contextual-intelligence-discussion/,tuf-bus-1715,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/daniel-richards/,tuf-bus-83,1
https://globalbusiness.tufts.edu/grid-container-testing/,,0
https://globalbusiness.tufts.edu/academics/sustainable-business-dynamics/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/tim-chang/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/bob-nakosteen/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/ian-diamond/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/what-is-masters-global-business-administration/,tuf-bus-83,3
https://globalbusiness.tufts.edu/academics/data-analytics-statistical-methods/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/elyse-clonan/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/corporate-finance/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/jake-kuipers/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/stephen-park/,tuf-bus-83,1
https://globalbusiness.tufts.edu/sr-gba-admissions-form/,tuf-bus-83,3
https://globalbusiness.tufts.edu/experience/leadership-faculty/lawrence-krohn/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/leonora-polonsky/,tuf-bus-83,1
https://globalbusiness.tufts.edu/2u-program-partner/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/bhaskar-chakravorti/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/michael-w-klein/,tuf-bus-83,1
https://globalbusiness.tufts.edu/,tuf-bus-83,3
https://globalbusiness.tufts.edu/experience/,tuf-bus-83,2
https://globalbusiness.tufts.edu/experience/leadership-faculty/monica-duffy-toft/,tuf-bus-83,1
https://globalbusiness.tufts.edu/admissions/,tuf-bus-83,2
https://globalbusiness.tufts.edu/experience/leadership-faculty/jayshree-venkatesan/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/leigh-juul/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/thomas-hout/,tuf-bus-83,1
https://globalbusiness.tufts.edu/careers/finance-careers/,tuf-bus-83,3
https://globalbusiness.tufts.edu/experience/student-spotlights/,tuf-bus-83,2
https://globalbusiness.tufts.edu/admissions/events/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/decision-analysis-for-business/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/politics-global-economy/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/margaret-richardson/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/mergers-acquisitions/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/on-campus-immersion/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/student-spotlights/maria-gonzalez/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/richard-shultz/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/patrick-schena/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/fletcher-in-the-news/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/divya-chandra/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/economic-policy-challenges/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/international-supply-chains/,tuf-bus-83,1
https://globalbusiness.tufts.edu/experience/leadership-faculty/kristen-zecchi/,tuf-bus-83,1
https://globalbusiness.tufts.edu/academics/,tuf-bus-83,3
https://globalbusiness.tufts.edu/academics/managerial-economics/,tuf-bus-83,1
